Rk,Player,Pos,Age,Tm,G,MP ▾,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
57,Danny Green,SG,27,SAS,78,2238,17.0,.600,.616,.171,2.8,14.1,8.5,10.1,2.3,2.9,10.2,17.6,,4.1,3.8,7.9,.169,,3.0,2.3,5.3,4.1
58,Courtney Lee,SG,29,MEM,73,2236,11.3,.552,.353,.198,1.0,7.6,4.3,9.9,1.7,0.4,10.3,15.2,,2.2,2.3,4.4,.095,,0.1,0.2,0.4,1.3
59,Al Horford,C,28,ATL,73,2234,21.2,.562,.039,.148,6.5,19.9,13.4,18.7,1.5,3.4,8.9,22.2,,4.9,3.4,8.3,.178,,1.3,2.5,3.8,3.3
60,Mike Conley,PG,27,MEM,70,2225,18.6,.558,.314,.282,1.5,9.2,5.4,28.0,2.1,0.5,13.6,23.7,,4.2,2.7,6.8,.147,,3.1,-0.5,2.7,2.6
61,Gerald Henderson,SG,27,CHO,76,2205,13.6,.521,.164,.263,1.7,11.7,6.6,15.5,1.1,0.7,10.4,20.5,,1.6,2.3,3.9,.085,,-0.9,-0.3,-1.1,0.5
62,Tyson Chandler,C,32,DAL,72,2203,19.8,.690,.000,.562,14.2,27.3,20.7,5.4,0.9,3.2,16.3,12.7,,6.7,3.0,9.7,.211,,1.8,2.4,4.2,3.4
63,Josh Smith,PF,29,TOT,79,2203,14.6,.464,.223,.222,7.2,18.1,12.5,20.8,1.9,3.9,16.1,24.5,,-1.3,3.2,2.0,.043,,-1.8,2.7,0.9,1.6
64,Gorgui Dieng,C,25,MIN,73,2193,17.2,.573,.012,.477,11.3,20.8,15.9,10.4,1.6,4.5,16.9,15.0,,3.4,1.6,5.0,.110,,0.1,2.4,2.6,2.5
65,Dirk Nowitzki,PF,36,DAL,74,2188,19.2,.559,.256,.271,2.2,20.0,11.0,10.5,0.8,1.1,6.2,24.9,,5.0,1.9,7.0,.153,,1.7,-1.1,0.6,1.4
66,Chandler Parsons,SF,26,DAL,66,2186,16.4,.567,.419,.233,3.2,13.1,8.1,11.5,1.6,0.7,9.5,20.7,,3.8,1.7,5.6,.122,,2.8,-0.2,2.6,2.5
67,Matt Barnes,SF,34,LAC,73,2185,11.5,.581,.599,.152,2.5,12.3,7.5,7.1,1.5,1.9,11.4,14.9,,2.3,2.0,4.3,.094,,1.1,0.8,1.8,2.1
68,Wesley Johnson,SF,27,LAL,74,2183,11.1,.505,.367,.167,3.1,12.9,7.8,8.5,1.4,1.6,10.2,16.4,,0.9,0.7,1.7,.037,,-0.9,-0.5,-1.4,0.3
69,Zach Randolph,PF,33,MEM,67,2171,19.6,.538,.023,.316,11.3,25.9,18.7,11.3,1.5,0.5,12.6,24.3,,3.2,3.6,6.8,.151,,0.4,1.0,1.4,1.8
70,Russell Westbrook,PG,26,OKC,63,2153,28.5,.531,.190,.451,6.1,16.3,11.3,47.3,3.1,0.5,14.6,38.3,,6.5,3.1,9.5,.212,,8.4,2.3,10.7,6.9
71,Jarrett Jack,PG,31,BRK,76,2149,14.5,.518,.172,.285,1.0,11.1,6.1,27.4,1.8,0.5,17.4,22.5,,1.0,1.3,2.3,.052,,-0.6,-1.0,-1.6,0.2
72,Jeff Teague,PG,26,ATL,70,2149,20.7,.569,.237,.370,1.6,7.5,4.6,37.7,2.9,1.2,16.7,25.3,,5.0,2.6,7.6,.170,,2.6,-0.7,1.9,2.1
73,Evan Turner,SG,26,BOS,78,2149,12.6,.482,.165,.191,2.0,18.4,10.1,29.3,1.8,0.6,19.5,19.4,,-0.3,2.5,2.2,.049,,-2.2,1.0,-1.1,0.5
74,Tim Duncan,PF,38,SAS,74,2133,22.0,.551,.009,.370,8.7,26.7,17.9,16.5,1.4,5.1,12.1,22.1,,4.3,4.5,8.8,.197,,0.4,4.7,5.1,3.8
75,Reggie Jackson,PG,24,TOT,73,2130,17.1,.512,.248,.202,2.7,13.1,7.9,34.1,1.4,0.3,14.5,24.5,,3.0,1.6,4.6,.103,,1.9,-1.1,0.8,1.5
76,Serge Ibaka,PF,25,OKC,64,2116,16.5,.549,.261,.140,7.0,18.1,12.7,4.2,0.7,5.8,10.4,19.0,,2.8,2.8,5.6,.127,,-0.5,1.4,0.8,1.5
77,Tristan Thompson,PF,23,CLE,78,2109,15.6,.580,.000,.512,14.6,19.6,17.1,2.6,0.8,2.1,12.0,13.9,,4.5,2.1,6.6,.150,,-0.3,-0.4,-0.6,0.7
78,DeMarre Carroll,SF,28,ATL,67,2100,16.1,.611,.469,.279,5.4,13.9,9.8,8.3,2.2,0.7,9.5,16.8,,4.3,2.6,6.9,.157,,2.6,0.6,3.2,2.8
79,Dion Waiters,SG,23,TOT,76,2054,10.4,.458,.257,.176,1.9,7.3,4.6,12.0,2.0,0.7,10.4,22.3,,-0.8,1.6,0.8,.019,,-2.4,-1.5,-3.9,-1.0
80,Patrick Patterson,PF,25,TOR,77,2042,14.9,.570,.527,.143,7.0,16.9,11.9,10.8,1.4,1.6,8.3,13.1,,4.4,1.6,6.0,.140,,2.6,0.7,3.3,2.7
81,Michael Carter-Williams,PG,23,TOT,62,2040,13.3,.453,.172,.310,3.3,15.4,9.1,37.5,2.5,1.1,20.0,26.8,,-2.6,2.6,0.0,.001,,-2.0,0.8,-1.2,0.4
82,Donatas Motiejunas,PF,24,HOU,71,2037,14.4,.553,.190,.237,7.4,15.4,11.4,10.8,1.4,1.3,13.7,19.0,,2.4,2.3,4.7,.110,,-0.7,0.5,-0.1,1.0
83,Brandon Knight,PG-SG,23,TOT,63,2035,17.2,.543,.361,.251,1.6,12.0,6.8,27.5,2.3,0.4,16.1,25.9,,2.0,2.4,4.4,.104,,1.8,-0.7,1.1,1.6
84,Rudy Gobert,C,22,UTA,78,2030,21.6,.634,.005,.682,14.2,27.0,20.7,8.2,1.6,7.0,16.9,13.7,,4.9,4.0,8.9,.210,,0.8,5.1,5.8,4.0
85,Wesley Matthews,SG,28,POR,60,2024,16.1,.585,.592,.193,2.1,9.6,5.9,10.9,1.9,0.4,9.0,19.9,,4.0,2.3,6.3,.149,,3.8,0.1,3.9,3.0
86,Greg Monroe,PF,24,DET,65,2022,21.2,.549,.000,.391,11.4,25.5,18.2,11.6,1.8,1.3,13.4,24.0,,3.6,2.6,6.2,.147,,0.5,1.2,1.8,1.9
87,J.R. Smith,SG,29,TOT,67,2021,13.7,.537,.555,.098,1.7,10.4,6.1,15.6,2.1,0.8,10.8,19.2,,2.2,1.5,3.6,.086,,1.7,-0.9,0.8,1.5
88,Joakim Noah,C,29,CHI,66,2018,15.5,.482,.005,.410,12.0,22.2,17.2,23.4,1.2,2.6,19.5,13.9,,2.5,3.0,5.5,.131,,-0.1,3.6,3.5,2.8
89,DeMarcus Cousins,C,24,SAC,59,2013,25.3,.545,.008,.508,10.8,30.7,21.1,20.5,2.3,4.1,16.3,34.1,,2.9,3.2,6.1,.145,,1.5,3.3,4.8,3.4
90,Kemba Walker,PG,24,CHO,58,2006,18.1,.492,.281,.294,1.9,10.1,5.9,26.6,2.2,1.2,8.1,26.0,,2.1,2.6,4.7,.112,,2.5,0.2,2.7,2.4
91,Jonas Valanciunas,C,22,TOR,76,2002,20.8,.622,.002,.429,11.9,26.4,19.2,3.1,0.8,3.7,12.0,19.1,,5.7,2.3,8.0,.192,,0.2,-0.5,-0.3,0.8
92,Andre Iguodala,SG,31,GSW,74,2001,12.5,.556,.421,.236,2.4,10.8,6.7,14.5,2.1,0.9,14.0,13.5,,2.2,2.8,5.0,.120,,0.1,1.5,1.6,1.8
93,Enes Kanter,C,22,TOT,71,2001,19.8,.558,.048,.252,14.6,20.8,17.8,4.7,0.9,1.1,12.8,24.8,,3.6,2.0,5.7,.136,,-0.2,-2.3,-2.6,-0.3
94,Bradley Beal,SG,21,WAS,60,1996,14.0,.525,.302,.197,3.1,9.5,6.4,15.4,1.8,0.6,12.0,22.2,,1.4,2.3,3.7,.089,,0.6,0.0,0.6,1.3
95,Terrence Ross,SF,23,TOR,78,1993,11.2,.523,.513,.079,1.7,10.7,6.2,6.5,1.3,0.9,8.2,18.1,,1.4,0.9,2.3,.056,,0.2,-1.7,-1.5,0.3
96,DeMar DeRozan,SG,25,TOR,57,1992,17.1,.506,.085,.444,2.2,13.1,7.7,16.7,1.7,0.4,10.2,28.4,,2.3,1.2,3.5,.085,,-0.5,-1.4,-1.9,0.0
97,Al Jefferson,C,30,CHO,65,1992,19.7,.500,.005,.163,5.3,25.4,15.1,11.5,1.2,3.3,5.9,26.3,,1.4,3.5,4.8,.117,,-1.3,1.6,0.3,1.1
